file_name,max,min,one_sigma1,one_sigma2,outlier_cnt_mean,div60,peak,tail,date,class,label_first,label_second,label_third,label_fourth,real_label,log_label
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam2(10^1=10.5) (10^2=135.5)/107_bioref_0_3_cam2.tif,49.61431666666667,49.24115,49.476247245630894,49.344277569183944,16,213.05763429783883,1169840,167.0,190522,6,1,6.0,,,13550000.0,7.131939295210424
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam2(10^1=10.5) (10^2=135.5)/105_bioref_240_2_cam2.tif,54.01848611111111,53.978194444444455,54.00945330747447,53.99003289622924,23,8.73593877546298,5677321,25.0,190522,4,1,4.0,,,135500.0,5.131939295210424
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam2(10^1=10.5) (10^2=135.5)/101_bioref_0_2_cam2.tif,44.54705833333333,44.52556111111111,44.542334188631294,44.53070534840574,25,3.5081627337962966,6873574,20.0,190522,0,0,,0.0,0.0,10.5,1.021189299069938
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam2(10^1=10.5) (10^2=135.5)/106_bioref_240_2_cam2.tif,49.86378888888889,49.718075,49.81673572547915,49.753177978224564,17,45.7053912623458,3904788,56.0,190522,5,1,5.0,,,1355000.0,6.131939295210424
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam2(10^1=10.5) (10^2=135.5)/107_bioref_120_1_cam2.tif,45.890277777777776,45.524347222222225,45.7617137114974,45.59883897368778,20,311.60747636188285,1535957,160.0,190522,6,1,6.0,,,13550000.0,7.131939295210424
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam2(10^1=10.5) (10^2=135.5)/104_bioref_0_1_cam2.tif,48.47248888888889,48.44040833333333,48.465634011338594,48.45280395162437,20,4.131500942901236,6560480,22.0,190522,3,0,,1.0,,13550.0,4.131939295210424
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam2(10^1=10.5) (10^2=135.5)/101_bioref_120_2_cam2.tif,43.003430555555546,42.963027777777775,42.99714474957387,42.977124324500195,19,2.767393986111112,6950986,21.0,190522,0,0,,0.0,0.0,10.5,1.021189299069938
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam2(10^1=10.5) (10^2=135.5)/101_bioref_120_3_cam2.tif,42.990013888888896,42.96378333333333,42.98448829474029,42.9720356867412,16,2.7455664606481487,6954610,24.0,190522,0,0,,0.0,0.0,10.5,1.021189299069938
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam2(10^1=10.5) (10^2=135.5)/106_bioref_240_1_cam2.tif,49.759561111111104,49.64044722222222,49.734177599817954,49.68880314092279,17,45.42928045216053,3908574,54.0,190522,5,1,5.0,,,1355000.0,6.131939295210424
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam2(10^1=10.5) (10^2=135.5)/105_bioref_120_2_cam2.tif,45.37634166666667,45.32866944444446,45.36478093172194,45.34310416087066,21,6.978202786265433,5928227,27.0,190522,4,1,4.0,,,135500.0,5.131939295210424
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam2(10^1=10.5) (10^2=135.5)/104_bioref_120_2_cam2.tif,45.07104444444445,45.04414722222222,45.064938672110436,45.05298984640808,22,3.4452528395061752,6749951,22.0,190522,3,0,,1.0,,13550.0,4.131939295210424
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam2(10^1=10.5) (10^2=135.5)/102_bioref_240_1_cam2.tif,44.91564166666666,44.85582222222222,44.901260592988265,44.86512746256731,25,2.8625420270061728,6828467,19.0,190522,1,0,,0.0,1.0,135.5,2.1319392952104246
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam2(10^1=10.5) (10^2=135.5)/104_bioref_240_1_cam2.tif,46.678102777777774,46.64121944444446,46.67273417193083,46.65484443918029,20,3.387782016203708,6631953,21.0,190522,3,0,,1.0,,13550.0,4.131939295210424
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam2(10^1=10.5) (10^2=135.5)/103_bioref_240_1_cam2.tif,42.77247222222222,42.72123888888889,42.75916205020663,42.734259709052616,27,2.7953616473765406,6929777,19.0,190522,2,0,,0.0,2.0,1355.0,3.1319392952104246
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam2(10^1=10.5) (10^2=135.5)/102_bioref_0_2_cam2.tif,48.125975,48.09634722222222,48.11554802253057,48.10046836635832,22,3.344149471450618,6658983,20.0,190522,1,0,,0.0,1.0,135.5,2.1319392952104246
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam2(10^1=10.5) (10^2=135.5)/101_bioref_0_3_cam2.tif,44.51299444444446,44.49086111111111,44.50797638585245,44.49771861414753,22,3.354720634259265,6877294,20.0,190522,0,0,,0.0,0.0,10.5,1.021189299069938
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam2(10^1=10.5) (10^2=135.5)/102_bioref_120_3_cam2.tif,48.847997222222226,48.8148,48.839446626227826,48.823020225624006,22,3.1826356080246945,6651500,20.0,190522,1,0,,0.0,1.0,135.5,2.1319392952104246
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam2(10^1=10.5) (10^2=135.5)/104_bioref_120_3_cam2.tif,45.154886111111104,45.11574166666666,45.14105829043758,45.1250619873402,18,3.4347984436728374,6745103,22.0,190522,3,0,,1.0,,13550.0,4.131939295210424
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam2(10^1=10.5) (10^2=135.5)/103_bioref_120_2_cam2.tif,50.0884,50.06511111111111,50.080727643032745,50.069353097708,19,3.2707386558642035,6565508,20.0,190522,2,0,,0.0,2.0,1355.0,3.1319392952104246
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam2(10^1=10.5) (10^2=135.5)/102_bioref_0_1_cam2.tif,48.27202777777778,48.23907222222223,48.26600394410144,48.25243772256523,18,3.4071715740740767,6650244,19.0,190522,1,0,,0.0,1.0,135.5,2.1319392952104246
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam2(10^1=10.5) (10^2=135.5)/104_bioref_120_1_cam2.tif,45.03621111111111,44.991238888888894,45.02190454078958,44.9990919406919,21,3.4507873101851865,6752052,20.0,190522,3,0,,1.0,,13550.0,4.131939295210424
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam2(10^1=10.5) (10^2=135.5)/102_bioref_240_3_cam2.tif,45.092375,45.04488888888889,45.075112066586435,45.05105441489507,20,2.889504439814815,6815152,19.0,190522,1,0,,0.0,1.0,135.5,2.1319392952104246
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam2(10^1=10.5) (10^2=135.5)/102_bioref_0_3_cam2.tif,48.00031666666667,47.97061944444446,47.99459666900758,47.979353701362804,23,3.305102216049393,6673989,19.0,190522,1,0,,0.0,1.0,135.5,2.1319392952104246
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam2(10^1=10.5) (10^2=135.5)/104_bioref_0_2_cam2.tif,48.54712222222222,48.49844166666666,48.53205662941476,48.5077625372519,20,4.2028886057098775,6551471,21.0,190522,3,0,,1.0,,13550.0,4.131939295210424
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam2(10^1=10.5) (10^2=135.5)/103_bioref_0_1_cam2.tif,42.92029722222223,42.87671388888889,42.90278020792298,42.884529236521466,21,3.2256781620370387,6912762,21.0,190522,2,0,,0.0,2.0,1355.0,3.1319392952104246
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam2(10^1=10.5) (10^2=135.5)/106_bioref_120_1_cam2.tif,44.46420833333333,44.36888055555556,44.43493480631337,44.3907969529459,18,36.86491994212957,3949484,52.0,190522,5,1,5.0,,,1355000.0,6.131939295210424
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam2(10^1=10.5) (10^2=135.5)/106_bioref_0_3_cam2.tif,52.24980833333333,52.088405555555546,52.22950279225454,52.16083248552325,19,34.95410815972225,2807444,85.0,190522,5,1,5.0,,,1355000.0,6.131939295210424
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam2(10^1=10.5) (10^2=135.5)/102_bioref_120_2_cam2.tif,48.947669444444436,48.90401944444446,48.936949503691004,48.91519420001272,22,3.1868826219135777,6644895,20.0,190522,1,0,,0.0,1.0,135.5,2.1319392952104246
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam2(10^1=10.5) (10^2=135.5)/107_bioref_240_3_cam2.tif,49.174125,48.70091944444446,49.061069114664036,48.83146042237299,20,353.27819428472236,1481039,155.0,190522,6,1,6.0,,,13550000.0,7.131939295210424
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam2(10^1=10.5) (10^2=135.5)/103_bioref_120_3_cam2.tif,50.110025,50.07468888888889,50.10348718215285,50.088179947476796,20,3.263899727623456,6558732,21.0,190522,2,0,,0.0,2.0,1355.0,3.1319392952104246
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam2(10^1=10.5) (10^2=135.5)/107_bioref_0_2_cam2.tif,49.563936111111104,49.187977777777775,49.455200451567194,49.302614826210615,16,203.29012235108047,1193944,170.0,190522,6,1,6.0,,,13550000.0,7.131939295210424
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam2(10^1=10.5) (10^2=135.5)/105_bioref_120_1_cam2.tif,45.43235,45.37606666666667,45.420506846943404,45.395798523426954,23,7.010158680555563,5883347,30.0,190522,4,1,4.0,,,135500.0,5.131939295210424
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam2(10^1=10.5) (10^2=135.5)/103_bioref_240_3_cam2.tif,42.75055833333333,42.695011111111114,42.74087768569097,42.715747962457186,20,2.77257928009259,6938312,19.0,190522,2,0,,0.0,2.0,1355.0,3.1319392952104246
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam2(10^1=10.5) (10^2=135.5)/101_bioref_120_1_cam2.tif,43.07724166666666,43.019344444444435,43.06960319118929,43.04116819769961,20,2.7409763449074016,6955180,21.0,190522,0,0,,0.0,0.0,10.5,1.021189299069938
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam2(10^1=10.5) (10^2=135.5)/105_bioref_240_3_cam2.tif,54.0853111111111,54.050225,54.07868306434217,54.058711287509674,26,8.78192581095677,5664686,28.0,190522,4,1,4.0,,,135500.0,5.131939295210424
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam1(10^1=15.5) (10^2=136.5)/102_bioref_0_2_cam1.tif,46.088361111111105,46.050425,46.08319391904979,46.063055988357604,17,3.7446742322530944,6615138,21.0,190522,1,0,,0.0,1.0,136.5,2.1351326513767748
/hdd2/data/TWT/AI_0422-0522/bioref_setup/190522/cam1(10^1=15.5) (10^2=136.5)/103_bioref_0_3_cam1.tif,46.94273055555556,46.874877777777776,46.918514707076184,46.88621742255345,19,4.774628729166656,6540324,21.0,190522,2,0,,0.0,2.0,1365.0,3.1351326513767748
